undefined
Date, Value
2014-03-31,83.9
2014-04-30,81.7
2014-05-31,82.2
2014-06-30,86.4
2014-07-31,90.3
2014-08-31,93.4
2014-09-30,89
2014-10-31,94.1
2014-11-30,91
2014-12-31,93.1
2015-01-31,103.8
2015-02-28,98.8
2015-03-31,101.4
2015-04-30,94.3
2015-05-31,94.6
2015-06-30,99.8
2015-07-31,91
2015-08-31,101.3
2015-09-30,102.6
2015-10-31,99.1
2015-11-30,92.6
2015-12-31,96.3
2016-01-31,97.8
2016-02-29,94
2016-03-31,96.1
2016-04-30,94.7
2016-05-31,92.4
2016-06-30,97.4
2016-07-31,96.7
2016-08-31,101.8
2016-09-30,103.5
2016-10-31,100.8
2016-11-30,109.4
2016-12-31,113.3
2017-01-31,111.6
2017-02-28,116.1
2017-03-31,124.9
2017-04-30,119.4
2017-05-31,117.6
2017-06-30,117.3
2017-07-31,120
2017-08-31,120.4
2017-09-30,120.6
2017-10-31,126.2
2017-11-30,128.6
2017-12-31,123.1
2018-01-31,124.3
2018-02-28,130
2018-03-31,127
2018-04-30,125.6
2018-05-31,128.8
2018-06-30,127.1
2018-07-31,127.9
2018-08-31,134.7
2018-09-30,135.3
2018-10-31,137.9
2018-11-30,136.4
2018-12-31,126.6
2019-01-31,121.7
2019-02-28,131.4
2019-03-31,124.1
2019-04-30,129.2
2019-05-31,131.3
2019-06-30,124.3
2019-07-31,135.8
2019-08-31,134.2
2019-09-30,126.3
2019-10-31,126.1
2019-11-30,126.8
2019-12-31,128.2
2020-01-31,130.4
2020-02-29,132.6
2020-03-31,118.8
2020-04-30,85.7
2020-05-31,85.9
2020-06-30,98.1
2020-07-31,92.6
2020-08-31,84.8
2020-09-30,101.3
2020-10-31,101.4
2020-11-30,92.9
2020-12-31,87.1
2021-01-31,88.9
2021-02-28,90.4
2021-03-31,109
2021-04-30,117.5
2021-05-31,120
2021-06-30,128.9
2021-07-31,125.1
2021-08-31,115.2
2021-09-30,109.8
2021-10-31,111.6
2021-11-30,111.9
2021-12-31,115.2
2022-01-31,111.1
2022-02-28,105.7
2022-03-31,107.6
2022-04-30,108.6
2022-05-31,103.2
2022-06-30,98.7
2022-07-31,95.3
2022-08-31,103.6
2022-09-30,107.8
2022-10-31,102.5
2022-11-30,101.4
2022-12-31,108.3
2023-01-31,106
2023-02-28,103.4
2023-03-31,104
2023-04-30,101.3
2023-05-31,102.5
2023-06-30,110.1
2023-07-31,114
2023-08-31,108.7
2023-09-30,104.3
2023-10-31,99.1
2023-11-30,101
2023-12-31,110.7
2024-01-31,110.9
2024-02-28,106.7
